symbol,date,open,high,low,close,volume,adjusted
TR,1989-03-07,3.737311,3.789218,3.737311,3.789218,18061,2.471977
TR,1989-03-08,3.754614,3.754614,3.737311,3.754614,41902,2.449403
TR,1989-03-09,3.737311,3.771916,3.737311,3.737311,86693,2.438114
TR,1989-03-10,3.633497,3.633497,3.633497,3.633497,2890,2.375405
TR,1989-03-13,3.616195,3.702707,3.598892,3.702707,36122,2.42065
TR,1989-03-14,3.702707,3.702707,3.668102,3.685404,5057,2.409338
TR,1989-03-15,3.6508,3.685404,3.616195,3.6508,244909,2.386717
TR,1989-03-16,3.685404,3.702707,3.598892,3.702707,52738,2.42065
TR,1989-03-17,3.702707,3.702707,3.495078,3.495078,113424,2.284913
TR,1989-03-20,3.495078,3.529683,3.460473,3.460473,15894,2.262289
TR,1989-03-21,3.495078,3.633497,3.495078,3.633497,68632,2.375405
TR,1989-03-22,3.668102,3.668102,3.564288,3.564288,13004,2.330157
TR,1989-03-23,3.564288,3.564288,3.529683,3.529683,148101,2.307535
TR,1989-03-27,3.512381,3.529683,3.495078,3.495078,11559,2.284913
TR,1989-03-28,3.512381,3.529683,3.495078,3.512381,45514,2.296226
TR,1989-03-29,3.58159,3.633497,3.564288,3.598892,49126,2.352782
TR,1989-03-30,3.564288,3.668102,3.564288,3.668102,42624,2.398028
TR,1989-03-31,3.668102,3.668102,3.564288,3.58159,31065,2.34147
TR,1989-04-03,3.546985,3.616195,3.512381,3.616195,43347,2.364093
TR,1989-04-04,3.6508,3.702707,3.6508,3.668102,733281,2.398028
TR,1989-04-05,3.702707,3.841126,3.702707,3.754614,80914,2.454585
TR,1989-04-06,3.754614,3.754614,3.720009,3.720009,8669,2.431961
TR,1989-04-07,3.702707,3.823823,3.702707,3.737311,25286,2.443271
TR,1989-04-10,3.720009,3.720009,3.668102,3.668102,14449,2.398028
TR,1989-04-11,3.668102,3.771916,3.668102,3.771916,49849,2.465895
TR,1989-04-12,3.737311,3.737311,3.737311,3.737311,14449,2.443271
TR,1989-04-13,3.702707,3.702707,3.529683,3.633497,70077,2.375405
TR,1989-04-14,3.668102,3.754614,3.668102,3.702707,76579,2.42065
TR,1989-04-17,3.668102,3.702707,3.633497,3.633497,13726,2.375405
TR,1989-04-18,3.668102,3.737311,3.668102,3.702707,62853,2.42065
TR,1989-04-19,3.668102,3.702707,3.668102,3.702707,7947,2.42065
TR,1989-04-20,3.720009,3.737311,3.720009,3.737311,9392,2.443271
TR,1989-04-21,3.737311,3.771916,3.737311,3.771916,39012,2.465895
TR,1989-04-24,3.737311,3.771916,3.737311,3.737311,25286,2.443271
TR,1989-04-25,3.737311,3.771916,3.737311,3.737311,18784,2.443271
TR,1989-04-26,3.737311,3.737311,3.720009,3.720009,160383,2.431961
TR,1989-04-27,3.720009,3.737311,3.720009,3.737311,368447,2.443271
TR,1989-04-28,3.771916,3.806521,3.771916,3.806521,53461,2.488518
TR,1989-05-01,3.771916,3.789218,3.737311,3.754614,59963,2.454585
TR,1989-05-02,3.720009,3.720009,3.685404,3.685404,9392,2.409338
TR,1989-05-03,3.702707,3.754614,3.702707,3.737311,85971,2.443271
TR,1989-05-04,3.737311,3.737311,3.668102,3.737311,46236,2.443271
TR,1989-05-05,3.841126,3.858428,3.806521,3.806521,67910,2.488518
TR,1989-05-08,3.841126,3.858428,3.823823,3.858428,20228,2.522453
TR,1989-05-09,3.823823,3.841126,3.806521,3.841126,32510,2.511142
TR,1989-05-10,3.858428,4.014149,3.823823,3.979544,179166,2.601634
TR,1989-05-11,4.031452,4.083359,3.996847,4.083359,57073,2.669502
TR,1989-05-12,4.066056,4.100661,4.048754,4.066056,23841,2.65819
TR,1989-05-15,4.048754,4.100661,4.014149,4.014149,36122,2.624257
